59899.1855	0.113
59899.1865	0.162
59899.1875	0.164
59899.1885	0.117
59899.1895	0.107
59899.1905	0.102
59899.1915	-0.054
59899.1925	-0.057
59899.1935	-0.146
59899.1945	-0.224
59899.1955	-0.192
59899.1965	-0.143
59899.1975	-0.084
59899.1985	-0.050
59899.1995	-0.003
59899.2005	0.016
59899.2015	-0.020
59899.2025	-0.019
59899.2035	-0.008
59899.2045	-0.026
59899.2055	-0.081
59899.2065	-0.126
59899.2075	-0.135
59899.2085	-0.212
59899.2095	-0.146
59899.2105	-0.120
59899.2115	-0.157
59899.2125	-0.154
59899.2135	-0.060
59899.2145	-0.024
59899.2155	0.049
59899.2165	0.172
59899.2175	0.176
59899.2185	0.140
59899.2195	0.162
59899.2205	0.141
59899.2215	0.063
59899.2225	0.011
59899.2235	-0.017
59899.2245	-0.035
59899.2255	-0.070
59899.2265	-0.080
59899.2275	-0.093
59899.2285	-0.087
59899.2295	-0.078
59899.2305	-0.025
59899.2315	-0.020
59899.2325	-0.022
59899.2335	-0.052
59899.2345	-0.057
59899.2355	-0.003
59899.2365	0.030
59899.2375	0.016
59899.2385	-0.024
59899.2395	-0.003
59899.2405	-0.016
59899.2415	-0.124
59899.2425	-0.124
59899.2435	-0.126
59899.2445	-0.146
59899.2455	-0.133
59899.2465	-0.077
59899.2475	-0.047
59899.2485	-0.011
59899.2495	0.057
59899.2505	0.034
59899.2515	0.079
59899.2525	0.098
59899.2535	0.094
59899.2545	0.094
59899.2555	0.059
59899.2565	0.088
59899.2575	0.089
59899.2585	-0.033
59899.2595	-0.019
59899.2605	0.015
59899.2615	0.088
59899.2625	0.104
59899.2635	0.219
59899.2645	0.254
59899.2655	0.246
59899.2665	0.244
59899.2675	0.240
59899.2685	0.266
59899.2695	0.298
59899.2705	0.330
59899.2715	0.270
59899.2725	0.162
59899.2735	0.072
59899.2745	0.025
59899.2755	-0.025
59899.2765	-0.076
59899.2775	-0.141
59899.2785	-0.111
59899.2795	-0.130
59899.2805	-0.079
59899.2815	-0.123
59899.2825	-0.102
59899.2835	-0.034
59899.2845	-0.065
59899.2855	-0.083
59899.2865	-0.111
59899.2875	-0.113
59899.2885	-0.153
59899.2895	-0.070
59899.2905	-0.064
59899.2915	-0.090
59899.2925	-0.035
59899.2935	-0.042
59899.2945	-0.090
59899.2955	-0.088
59899.2965	-0.144
59899.2975	-0.130
59899.2985	-0.124
59899.2995	-0.064
59899.3005	0.010
59899.3015	0.039
59899.3025	0.052
59899.3035	0.079
59899.3045	0.012
59899.3055	0.008
59899.3065	0.031
59899.3075	0.033
59899.3085	-0.088
59899.3095	-0.167
59899.3105	-0.159
59899.3115	-0.179
59899.3125	-0.183
59899.3135	-0.145
59899.3145	-0.105
59899.3155	-0.092
59899.3165	-0.065
59899.3175	-0.118
59899.3185	-0.102
59899.3195	-0.042
59899.3205	-0.043
59899.3215	-0.060
59899.3225	-0.014
59899.3235	-0.036
59899.3245	0.013
59899.3255	0.007
59899.3265	-0.023
59899.3275	-0.064
59899.3285	-0.089
59899.3295	-0.048
59899.3305	0.043
59899.3315	0.041
59899.3325	0.092
59899.3335	0.132
59899.3345	0.088
59899.3355	0.105
59899.3365	0.170
59899.3375	0.159
59899.3385	0.119
59899.3395	0.121
59899.3405	0.092
59899.3415	0.020
59899.3425	0.026
59899.3435	0.063
59899.3445	0.009
59899.3455	-0.022
59899.3465	0.013
59899.3475	0.060
59899.3485	0.064
59899.3495	0.120
59899.3505	0.227
59899.3515	0.311
59899.3525	0.353
59899.3535	0.341
59899.3545	0.309
59899.3555	0.233
59899.3565	0.265
59899.3575	0.269
59899.3585	0.197
59899.3595	0.162
59899.3605	0.146
59899.3615	0.126
59899.3625	0.159
59899.3635	0.195
59899.3645	0.213
59899.3655	0.207
59899.3665	0.258
59899.3675	0.191
59899.3685	0.196
59899.3695	0.253
59899.3705	0.255
59899.3715	0.276
59899.3725	0.291
59899.3735	0.233
