,,Peaks Amplitude,Intervals
MeanVar1,count,3219.0,3218.0
MeanVar1,mean,0.5141533107667706,0.18854591361093848
MeanVar1,std,0.04721744540278849,0.010719482186248954
MeanVar1,min,0.4032598678382143,0.16999999999999993
MeanVar1,25%,0.46842176396827984,0.18306250000001256
MeanVar1,50%,0.5262424588026318,0.1885000000000332
MeanVar1,75%,0.5500225684506224,0.19425000000001091
MeanVar1,max,0.6193796605723649,0.3849999999999909
