,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Peaks Amplitude,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals,Intervals
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MeanVar1,236.0,0.20014299431396648,0.053558136770335975,0.10539584892261826,0.16191502463801347,0.189778929658812,0.22596456605487955,0.4094320666766814,235.0,0.4137872340425445,0.2440256691144659,0.10500000000320142,0.24699999999938882,0.3580000000001746,0.4989999999961583,2.3849999999947613
