,,Burst Start,Burst End,Burst Duration,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,count,3224.0,3224.0,3224.0,3223.0,3223.0,3224.0,3219.0,3219.0,3219.0,3219.0,3224.0,3224.0
MeanVar1,mean,297.23460638957783,297.26482839640227,0.030222006823822176,0.15803195780328802,0.18825325783431587,0.9984491315136477,0.5141533107667706,296.80080094749883,0.014954411307866471,0.015263125194153609,33.11844965332617,0.011412347548028843
MeanVar1,std,176.07011511802267,176.07094114581778,0.0014498184931233588,0.006746411634333112,0.007453145403781851,0.03935662250365897,0.04721744540278849,175.8371241804702,0.0008869211203849236,0.0007219765530219512,2.065129869191616,0.001328384485362038
MeanVar1,min,0.12025,0.14825,0.026499999999998636,0.1419999999999999,0.16999999999999993,0.0,0.4032598678382143,0.13425,0.013249999999999318,0.013249999999970896,0.0,0.008254667705132328
MeanVar1,25%,143.869,143.897875,0.02924999999999045,0.15399999999999636,0.18300000000002115,1.0,0.46842176396827984,143.65425,0.014250000000004093,0.01474999999999227,31.999999999883585,0.01031973561080007
MeanVar1,50%,293.386625,293.41675,0.030250000000000554,0.15775000000002137,0.1885000000000332,1.0,0.5262424588026318,292.92900000000003,0.014750000000000263,0.01525000000003729,33.057851239668814,0.011427917083959113
MeanVar1,75%,449.120875,449.15306250000003,0.03125000000011369,0.1627499999999884,0.19425000000001091,1.0,0.5500225684506224,448.393875,0.015500000000002956,0.015750000000025466,34.18803418804535,0.012504465899250767
MeanVar1,max,606.8605,606.893,0.03350000000000364,0.17174999999997453,0.20199999999999818,1.0,0.6193796605723649,606.875,0.017250000000103682,0.018000000000029104,37.735849056605716,0.014724203370199465
