,Time,Peaks Amplitude,Intervals
MeanVar1,0.13425,0.44124740539771895,0.17300000000000001
MeanVar1,0.30725,0.4733392753711208,0.17274999999999996
MeanVar1,0.48,0.4470898804239432,0.17075000000000007
MeanVar1,0.65075,0.44070023739067066,0.1725
MeanVar1,0.82325,0.4638694402511465,0.17325000000000002
MeanVar1,0.9965,0.4466672714840634,0.17049999999999998
MeanVar1,1.167,0.44760138573519653,0.1725000000000001
MeanVar1,1.3395000000000001,0.48128534670636414,0.1735
MeanVar1,1.5130000000000001,0.4423913057616007,0.17074999999999996
MeanVar1,1.68375,0.4366306867911004,0.17249999999999988
MeanVar1,1.85625,0.4615144824903655,0.1737500000000003
MeanVar1,2.0300000000000002,0.4439871642823846,0.17124999999999968
MeanVar1,2.20125,0.45072138822843566,0.17300000000000004
MeanVar1,2.37425,0.4693904198857737,0.17375000000000007
MeanVar1,2.548,0.44244027702254,0.17025000000000023
MeanVar1,2.7182500000000003,0.4439209826932259,0.1742499999999998
MeanVar1,2.8925,0.4669351361642744,0.1732499999999999
MeanVar1,3.06575,0.4469002120840083,0.16999999999999993
MeanVar1,3.23575,0.4538921014515495,0.17525000000000013
MeanVar1,3.411,0.4656430105295378,0.17249999999999988
MeanVar1,3.5835,0.4378968301966133,0.17074999999999996
MeanVar1,3.75425,0.45656906560545163,0.17525000000000013
MeanVar1,3.9295,0.4663065416120341,0.17124999999999968
MeanVar1,4.10075,0.45350611747026204,0.17275000000000063
MeanVar1,4.2735,0.4624450187535798,0.1745000000000001
MeanVar1,4.448,0.44234113222987576,0.17074999999999996
MeanVar1,4.61875,0.44535057593774313,0.17499999999999982
MeanVar1,4.79375,0.4669039408379897,0.17300000000000004
MeanVar1,4.96675,0.4408559787186343,0.17100000000000026
MeanVar1,5.1377500000000005,0.4717522737558246,0.17524999999999924
MeanVar1,5.313,0.45222136245320466,0.17149999999999999
MeanVar1,5.4845,0.4374713969380724,0.17375000000000007
MeanVar1,5.65825,0.46298435207588945,0.17425000000000068
MeanVar1,5.8325000000000005,0.44538803290511747,0.17074999999999996
MeanVar1,6.00325,0.4566387311909774,0.17549999999999955
MeanVar1,6.17875,0.4584837358374418,0.1720000000000006
MeanVar1,6.350750000000001,0.4358220663602172,0.17299999999999915
MeanVar1,6.52375,0.4627269432594605,0.1750000000000007
MeanVar1,6.69875,0.4417553364096851,0.17099999999999937
MeanVar1,6.86975,0.4639948771630242,0.17575000000000074
MeanVar1,7.0455000000000005,0.45805447506057106,0.17225000000000001
MeanVar1,7.2177500000000006,0.4363225953313291,0.17324999999999946
MeanVar1,7.391,0.46155019402997144,0.1745000000000001
MeanVar1,7.5655,0.43273168680876095,0.17149999999999999
MeanVar1,7.737,0.4586143514392063,0.17574999999999985
MeanVar1,7.91275,0.46027277066103617,0.1719999999999997
MeanVar1,8.08475,0.4367751767124286,0.17425000000000068
MeanVar1,8.259,0.4649933396158131,0.17425000000000068
MeanVar1,8.433250000000001,0.435772840359182,0.1712499999999988
MeanVar1,8.6045,0.45370675072020317,0.17624999999999957
MeanVar1,8.78075,0.45886331546775805,0.17175000000000118
MeanVar1,8.9525,0.44217090943560405,0.17549999999999955
MeanVar1,9.128,0.46463858766833105,0.17324999999999946
MeanVar1,9.30125,0.4325308234264035,0.17325000000000124
MeanVar1,9.4745,0.46190404972704324,0.17525000000000013
MeanVar1,9.649750000000001,0.44157123343864424,0.1712499999999988
MeanVar1,9.821,0.46026931299498275,0.17625000000000135
MeanVar1,9.997250000000001,0.45143469958748783,0.17199999999999882
