,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency,Burst Area
MeanVar1,457.6145,457.6145,457.64375,0.02924999999999045,False,0.17000000000001592,0.19925000000000637,1,0.5245925267871878,457.629,0.014499999999998181,0.01474999999999227,34.18803418804535,0.011209135266469841
MeanVar1,457.81375,457.81375,457.843,0.02924999999999045,False,0.16974999999996498,0.19899999999995543,1,0.5251543867191888,457.82825,0.014499999999998181,0.01474999999999227,34.18803418804535,0.011241073149110974
MeanVar1,458.01275,458.01275,458.04225,0.029500000000041382,False,0.1694999999999709,0.19900000000001228,1,0.5277645204936303,458.02725000000004,0.014500000000055024,0.014999999999986358,33.89830508469821,0.011430000868036902
MeanVar1,458.21175,458.21175,458.24175,0.03000000000002956,False,0.16825000000000045,0.19825000000003,1,0.5335258275223925,458.22625,0.014499999999998181,0.015500000000031378,33.33333333330049,0.011686614694464475
MeanVar1,458.41,458.41,458.44075,0.03074999999995498,False,0.1672500000000241,0.19799999999997908,1,0.5411148644620452,458.425,0.014999999999986358,0.015749999999968622,32.52032520329964,0.012070192747964286
MeanVar1,458.608,458.608,458.63975,0.03174999999998818,False,0.16775000000001228,0.19950000000000045,1,0.5561854589134113,458.62425,0.016250000000013642,0.015499999999974534,31.496062992137713,0.012703481108763537
MeanVar1,458.8075,458.8075,458.8395,0.031999999999982265,False,0.166499999999985,0.19849999999996726,1,0.5740941125430148,458.8235,0.016000000000019554,0.01599999999996271,31.25000000001732,0.01312468111400288
MeanVar1,459.006,459.006,459.038,0.03200000000003911,False,0.166499999999985,0.1985000000000241,1,0.553635352845121,459.02225,0.016250000000013642,0.015750000000025466,31.24999999996181,0.01275078233471746
MeanVar1,459.2045,459.2045,459.23675,0.03224999999997635,False,0.16650000000004184,0.1987500000000182,1,0.5560597641705824,459.221,0.01650000000000773,0.015749999999968622,31.00775193800723,0.012916660764647238
MeanVar1,459.40325,459.40325,459.4355,0.03224999999997635,False,0.16675000000003593,0.19900000000001228,1,0.5547927068764558,459.42,0.01675000000000182,0.015499999999974534,31.00775193800723,0.012953650630815867
MeanVar1,459.60225,459.60225,459.6345,0.03224999999997635,False,0.16674999999997908,0.19899999999995543,1,0.5507074462502357,459.61875000000003,0.01650000000000773,0.015749999999968622,31.00775193800723,0.01288524724068018
MeanVar1,459.80125,459.80125,459.83325,0.03200000000003911,False,0.16749999999996135,0.19950000000000045,1,0.5464196992371555,459.817,0.015750000000025466,0.016250000000013642,31.24999999996181,0.012692415228950163
MeanVar1,460.00075,460.00075,460.0325,0.03175000000004502,False,0.16749999999996135,0.19925000000000637,1,0.5421799027112604,460.016,0.01525000000003729,0.01650000000000773,31.496062992081324,0.01250703555466271
MeanVar1,460.2,460.2,460.23125,0.03125,False,0.16800000000000637,0.19925000000000637,1,0.5399510675459198,460.21500000000003,0.015000000000043201,0.0162499999999568,32.0,0.012259973883266299
MeanVar1,460.39925,460.39925,460.43025,0.03100000000000591,False,0.16849999999999454,0.19950000000000045,1,0.5361422364441366,460.41425,0.014999999999986358,0.016000000000019554,32.25806451612288,0.012051961070602357
MeanVar1,460.59875,460.59875,460.62925,0.030500000000017735,False,0.16874999999998863,0.19925000000000637,1,0.5316449225746178,460.6135,0.01474999999999227,0.015750000000025466,32.78688524588257,0.011787139521475235
MeanVar1,460.798,460.798,460.82925,0.03125,False,0.16849999999999454,0.19974999999999454,1,0.5789904621898891,460.81325,0.015249999999980446,0.016000000000019554,32.0,0.012972108262280081
MeanVar1,460.99775,460.99775,461.0275,0.029749999999978627,False,0.17000000000001592,0.19974999999999454,1,0.5271172432844444,461.01225,0.014499999999998181,0.015249999999980446,33.613445378175406,0.01140942069186401
MeanVar1,461.1975,461.1975,461.22675,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5217092935512816,461.21175,0.014250000000004093,0.014999999999986358,34.18803418804535,0.01116337512546649
MeanVar1,461.39725,461.39725,461.4265,0.02924999999999045,False,0.1705000000000041,0.19974999999999454,1,0.5221075719000376,461.41175,0.014499999999998181,0.01474999999999227,34.18803418804535,0.01116396464689649
MeanVar1,461.597,461.597,461.626,0.028999999999996362,False,0.1705000000000041,0.19950000000000045,1,0.5229578038305422,461.61125,0.014250000000004093,0.01474999999999227,34.48275862069398,0.011134060612487715
MeanVar1,461.7965,461.7965,461.82575,0.029250000000047294,False,0.16999999999995907,0.19925000000000637,1,0.523538387127064,461.81075,0.014250000000004093,0.015000000000043201,34.18803418797891,0.011193768016385755
